product_id,name,url,sku,brand,price_tnd,final_price_tnd,price_numeric,final_price_numeric,is_on_sale,discount_pct,availability,image_url,description,screen,processor,os,ram,storage,gpu
68136,PC Portable Gamer ASUS TUF Gaming F16 i7 13è Gén 24Go RTX 4050,https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-f16-i7-13e-gen-24go-rtx-4050.html,TUF667VU-RL090W-24G,ASUS,4299,4299,4299.0,4299.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-gamer-asus-tuf-gaming-f16-i7-13e-gen-24go-rtx-4050.jpg,"Écran 16"" Full HD+ WUXGA,IPS 144Hz - Processeur: Intel Core  i7-13620H (Up to 4.90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 24 Go DDR5 - Disque Dur: 512","Écran 16"" Full HD+ WUXGA,IPS 144Hz","Intel Core  i7-13620H (Up to 4.90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores)",Windows 11 Famille,24 Go DDR5,512,
69086,PC Portable DELL Pro 16 Plus Ultra 7 266V 16Go 512Go SSD - Gris,https://www.mytek.tn/pc-portable-dell-pro-16-plus-ultra-7-266v-16go-512go-ssd-gris.html,PB16250-U7-3Y,DELL,4299,4299,4299.0,4299.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-dell-pro-16-plus-ultra-7-266v-16go-512go-ssd-gris.jpg,"Écran 16"" Full HD+ - Processeur: Intel Core Ultra 7 266V (Up to 5 GHz Turbo max ,12Mo de mémoire cache, Octa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go - Disque dur: 512 Go SSD - Carte graphique: Intel®","Écran 16"" Full HD+","Intel Core Ultra 7 266V (Up to 5 GHz Turbo max ,12Mo de mémoire cache, Octa-Core)",FreeDos,16 Go,512 Go SSD,Intel®
72914,PC Portable Gamer MSI Cyborg 15 A13VE i5 13è Gén 32G RTX4050,https://www.mytek.tn/pc-portable-gamer-msi-cyborg-15-a13ve-i5-13e-gen-32g-rtx4050.html,9S7-15K111-2234-32G,MSI,4319,4319,4319.0,4319.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-gamer-msi-cyborg-15-a13ve-i5-13e-gen-32g-rtx4050.jpg,"Écran 15.6"" Full HD IPS, 144 Hz - Processeur: Intel Core i5-13420H (Up to 4.60 GHz Turbo max, 12 Mo de mémoire cache, Octa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go DDR5 - Disque dur: 512Go SSD - Carte","Écran 15.6"" Full HD IPS, 144 Hz","Intel Core i5-13420H (Up to 4.60 GHz Turbo max, 12 Mo de mémoire cache, Octa-Core)",FreeDos,32 Go DDR5,512Go SSD,Carte
68341,PC Portable Gamer LENOVO LOQ 15IRX10 i7 13è Gén 16Go RTX 5050,https://www.mytek.tn/pc-portable-gamer-lenovo-loq-15irx10-i7-13e-gen-16go-rtx-5050.html,83JE00WCFG-2Y,LENOVO,4339,4339,4339.0,4339.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-gamer-lenovo-loq-15irx10-i7-13e-gen-16go-rtx-5050.jpg,"Écran 15.6"" Full HD IPS, 144Hz - Processeur: Intel Core i7-13650HX (Up to 4.90 GHz Turbo max, 24Mo de mémoire cache, 14-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 16Go DDR5 - Disque Dur: 512Go SSD - Carte Gr","Écran 15.6"" Full HD IPS, 144Hz","Intel Core i7-13650HX (Up to 4.90 GHz Turbo max, 24Mo de mémoire cache, 14-Cores)",FreeDos,16Go DDR5,512Go SSD,Carte Gr
70734,PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 7 32G RTX3050,https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-32g-rtx3050.html,FA506NCG-HN314W-32G,ASUS,4359,4359,4359.0,4359.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-32g-rtx3050.jpg,"Écran 15.6"" Full HD, IPS 144Hz - Processeur: AMD Ryzen™ 7 7445HS (Up to 4.7 GHz Turbo max, 16 Mo de mémoire cache, Hexa-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 32 Go DDR5 - Disque Dur: 512 Go SS","Écran 15.6"" Full HD, IPS 144Hz","AMD Ryzen™ 7 7445HS (Up to 4.7 GHz Turbo max, 16 Mo de mémoire cache, Hexa-Core)",Windows 11 Famille,32 Go DDR5,512 Go SS,
70885,PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 7 32Go RTX3050,https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-32go-rtx3050.html,FA506NCG-HN282W-32G,ASUS,4359,4359,4359.0,4359.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-32go-rtx3050.jpg,"Écran 15.6"" Full HD, IPS 144Hz - Processeur: AMD Ryzen™ 7 7445HS (Up to 4.7 GHz Turbo max, 16 Mo de mémoire cache, Hexa-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 32 Go DDR5 - Disque Dur: 512 Go SS","Écran 15.6"" Full HD, IPS 144Hz","AMD Ryzen™ 7 7445HS (Up to 4.7 GHz Turbo max, 16 Mo de mémoire cache, Hexa-Core)",Windows 11 Famille,32 Go DDR5,512 Go SS,
65949,PC Portable HP OmniBook X FlipNGAI 14-fm0019nk Ultra 7 256V 16G 512G SSD - Silver,https://www.mytek.tn/pc-portable-hp-omnibook-x-flipngai-14-fm0019nk-ultra-7-256v-16g-512g-ssd-silver.html,BG6S8EA,HP,4379,4379,4379.0,4379.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-hp-omnibook-x-flipngai-14-fm0019nk-ultra-7-256v-16g-512g-ssd-silver.jpg,"Écran 14"" WUXGA, IPS Tactile - Processeur: Intel Core Ultra 7 256V (Up to 4.8 GHz Turbo max, 12 Mo de mémoire cache, Octa-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 16 Go - Disque Dur: 512 Go SSD -","Écran 14"" WUXGA, IPS Tactile","Intel Core Ultra 7 256V (Up to 4.8 GHz Turbo max, 12 Mo de mémoire cache, Octa-Core)",Windows 11 Famille,16 Go,512 Go SSD -,
67897,Pc Portable ASUS ZenBook 14 Ultra 7 255H 16Go 1To SSD - Silver,https://www.mytek.tn/pc-portable-asus-zenbook-14-ultra-7-255h-16go-1to-ssd-silver.html,UX3405CA-QL574W,ASUS,4379,4379,4379.0,4379.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-asus-zenbook-14-ultra-7-255h-16go-1to-ssd-silver-ms.jpg,"Ecran 14"" WUXGA OLED, Tactile - Processeur: Intel Core Ultra 7 255H (Up to 5,1 GHz Turbo max, 24 Mo de mémoire cache, 16-Cores) - Systéme d'exploitation: Windows 11 Famille - Mémoire RAM: 16 Go - Disque Dur: 1To SSD - Ca","Ecran 14"" WUXGA OLED, Tactile","Intel Core Ultra 7 255H (Up to 5,1 GHz Turbo max, 24 Mo de mémoire cache, 16-Cores)",Windows 11 Famille,16 Go,1To SSD,
69200,PC Portable Gamer LENOVO LOQ 15IRX10 i7 13è Gén 16G RTX 5050,https://www.mytek.tn/pc-portable-gamer-lenovo-loq-15irx10-i7-13e-gen-16g-rtx-5050.html,83JE00WCFG-2Y-W11P,LENOVO,4379,4379,4379.0,4379.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-gamer-lenovo-loq-15irx10-i7-13e-gen-16g-rtx-5050.jpg,"Écran 15.6"" Full HD IPS, 144Hz - Processeur: Intel Core i7-13650HX (Up to 4.90 GHz Turbo max, 24Mo de mémoire cache, 14-Cores) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 16Go DDR5 - Disque Dur: 512Go SSD - C","Écran 15.6"" Full HD IPS, 144Hz","Intel Core i7-13650HX (Up to 4.90 GHz Turbo max, 24Mo de mémoire cache, 14-Cores)",Windows 11 Pro,16Go DDR5,512Go SSD,
72979,PC Portable ASUS Vivobook S14 Ultra 7 256V 16Go 1To SSD - Bleu,https://www.mytek.tn/pc-portable-asus-vivobook-s14-ultra-7-256v-16go-1to-ssd-bleu.html,S5406SA-QD006W,ASUS,4379,4379,4379.0,4379.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-asus-vivobook-s14-ultra-7-256v-16go-1to-ssd-bleu.jpg,"Écran 14"" WUXGA,OLED - Processeur: Intel Core Ultra 7 256V (Up to 4.8 GHz Turbo max, 12Mo de mémoire cache, Octa-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 16 Go - Disque Dur: 1To SSD - Carte Graph","Écran 14"" WUXGA,OLED","Intel Core Ultra 7 256V (Up to 4.8 GHz Turbo max, 12Mo de mémoire cache, Octa-Core)",Windows 11 Famille,16 Go,1To SSD,Carte Graph
64362,PC Portable DELL Pro 14 Plus Ultra 7 255U 16Go 512Go SSD,https://www.mytek.tn/pc-portable-dell-pro-14-plus-ultra-7-255u-16go-512go-ssd.html,PB14250-U7-3Y,DELL,4399,4399,4399.0,4399.0,False,,Epuisé,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-dell-pro-14-plus-ultra-7-255u-16go-512go-ssd.jpg,"Écran 14"" Full HD+,IPS - Processeur: Intel Core Ultra 7 255U (Up to 5,2 GHz Turbo max ,12Mo de mémoire cache, 12-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go - Disque dur: 512 Go SSD - Carte graphique: I","Écran 14"" Full HD+,IPS","Intel Core Ultra 7 255U (Up to 5,2 GHz Turbo max ,12Mo de mémoire cache, 12-Cores)",FreeDos,16 Go,512 Go SSD,I
72201,PC Portable Gamer LENOVO LOQ 15IRX9 i7 13ème Gén 24Go RTX 4050,https://www.mytek.tn/pc-portable-gamer-lenovo-loq-15irx9-i7-13eme-gen-24go-rtx-4050.html,83DV00JUFG-24G,LENOVO,4415,4415,4415.0,4415.0,False,,En stock,https://mk-media.mytek.tn/media/catalog/product/p/c/pc-portable-gamer-lenovo-loq-15irx9-i7-13eme-gen-24go-rtx-4050-a_1.jpg,"Écran 15.6"" Full HD IPS, 144Hz - Processeur: Intel Core i7-13650HX (Up to 4.90 GHz Turbo max , 24 Mo de mémoire cache, 14-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 24Go DDR5-4800 - Disque Dur: 512Go SSD - C","Écran 15.6"" Full HD IPS, 144Hz","Intel Core i7-13650HX (Up to 4.90 GHz Turbo max , 24 Mo de mémoire cache, 14-Cores)",FreeDos,24Go DDR5-4800,512Go SSD,
